,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
548,,,Tula Oblast,Russia,11/11/2020 5:25,53.9570701,37.3690909,13665,442,11572,1651,"Tula Oblast, Russia",915.9737374,3.234540798
549,,,Tver Oblast,Russia,11/11/2020 5:25,57.1134475,35.1744428,11271,339,6553,4379,"Tver Oblast, Russia",877.8905702,3.007718925
550,,,Tyumen Oblast,Russia,11/11/2020 5:25,58.8206488,70.3658837,14931,91,9573,5267,"Tyumen Oblast, Russia",404.3711407,0.60947023
551,,,Tyva Republic,Russia,11/11/2020 5:25,51.4017149,93.8582593,10388,119,9380,889,"Tyva Republic, Russia",3228.874618,1.145552561
552,,,Udmurt Republic,Russia,11/11/2020 5:25,57.1961165,52.6959832,10213,226,8833,1154,"Udmurt Republic, Russia",674.9968937,2.212865955
553,,,Ulyanovsk Oblast,Russia,11/11/2020 5:25,54.1463177,47.2324921,22908,279,18237,4392,"Ulyanovsk Oblast, Russia",1837.611843,1.217915139
554,,,Vladimir Oblast,Russia,11/11/2020 5:25,56.0503336,40.6561633,10680,277,7920,2483,"Vladimir Oblast, Russia",774.84679,2.593632959
555,,,Volgograd Oblast,Russia,11/11/2020 5:25,49.6048339,44.2903582,22493,233,19893,2367,"Volgograd Oblast, Russia",892.127637,1.035877829
556,,,Vologda Oblast,Russia,11/11/2020 5:25,60.0391461,43.1215213,8173,74,6389,1710,"Vologda Oblast, Russia",694.576052,0.905420286
557,,,Voronezh Oblast,Russia,11/11/2020 5:25,50.9800393,40.1506507,28106,374,26037,1695,"Voronezh Oblast, Russia",1204.31851,1.330676724
558,,,Yamalo-Nenets Autonomous Okrug,Russia,11/11/2020 5:25,67.1471631,74.3415488,22439,162,15520,6757,"Yamalo-Nenets Autonomous Okrug, Russia",4166.581561,0.721957306
559,,,Yaroslavl Oblast,Russia,11/11/2020 5:25,57.7781976,39.0021095,12857,68,11533,1256,"Yaroslavl Oblast, Russia",1015.814374,0.528894765
560,,,Zabaykalsky Krai,Russia,11/11/2020 5:25,52.248521,115.956325,13940,198,9990,3752,"Zabaykalsky Krai, Russia",1299.396163,1.420373027
561,,,,Rwanda,11/11/2020 5:25,-1.9403,29.8739,5262,40,4967,255,Rwanda,40.62627464,0.760167237
562,,,,Saint Kitts and Nevis,11/11/2020 5:25,17.357822,-62.782998,19,0,19,0,Saint Kitts and Nevis,35.71965709,0
563,,,,Saint Lucia,11/11/2020 5:25,13.9094,-60.9789,148,1,32,115,Saint Lucia,80.59729128,0.675675676
564,,,,Saint Vincent and the Grenadines,11/11/2020 5:25,12.9843,-61.2872,76,0,72,4,Saint Vincent and the Grenadines,68.50117624,0
565,,,,Samoa,11/11/2020 5:25,-13.759,-172.1046,0,0,0,0,Samoa,0,
566,,,,San Marino,11/11/2020 5:25,43.9424,12.4578,1114,42,789,283,San Marino,3282.456244,3.770197487
567,,,,Sao Tome and Principe,11/11/2020 5:25,0.1864,6.6131,962,16,914,32,Sao Tome and Principe,438.9467104,1.663201663
568,,,,Saudi Arabia,11/11/2020 5:25,23.885942,45.079162,351455,5576,338281,7598,Saudi Arabia,1009.525888,1.586547353
569,,,,Senegal,11/11/2020 5:25,14.4974,-14.4524,15720,326,15366,28,Senegal,93.88476899,2.073791349
570,,,,Serbia,11/11/2020 5:25,44.0165,21.0059,66888,915,0,65973,Serbia,765.539287,1.367958378
571,,,,Seychelles,11/11/2020 5:25,-4.6796,55.492,154,0,155,0,Seychelles,156.5995526,0
572,,,,Sierra Leone,11/11/2020 5:25,8.460555,-11.779889,2386,74,1813,499,Sierra Leone,29.91105035,3.101424979
573,,,,Singapore,11/11/2020 5:25,1.2833,103.8333,58073,28,57985,60,Singapore,992.6426536,0.048215177
574,,,,Slovakia,11/11/2020 5:25,48.669,19.699,84347,390,21718,62239,Slovakia,1544.917864,0.462375662
575,,,,Slovenia,11/11/2020 5:25,46.1512,14.9955,46717,605,25007,21105,Slovenia,2247.163447,1.295031787
576,,,,Solomon Islands,11/11/2020 5:25,-9.6457,160.1562,16,0,5,11,Solomon Islands,2.450762647,0
577,,,,Somalia,11/11/2020 5:25,5.152149,46.199616,4301,107,3247,947,Somalia,27.06185575,2.487793536
578,,,,South Africa,11/11/2020 5:25,-30.5595,22.9375,740254,19951,683194,37109,South Africa,1248.137499,2.695155987
579,,,,South Sudan,11/11/2020 5:25,6.877,31.307,2960,59,1290,1611,South Sudan,26.44337736,1.993243243
580,,,Andalusia,Spain,11/11/2020 5:25,37.5443,-4.7278,173357,2885,10671,159801,"Andalusia, Spain",2057.062643,1.66419585
581,,,Aragon,Spain,11/11/2020 5:25,41.5976,-0.9057,64835,1860,3772,59203,"Aragon, Spain",4909.562876,2.868820853
582,,,Asturias,Spain,11/11/2020 5:25,43.3614,-5.8593,15583,582,1063,13938,"Asturias, Spain",1524.449597,3.734839248
583,,,Baleares,Spain,11/11/2020 5:25,39.710358,2.995148,20617,378,1533,18706,"Baleares, Spain",1735.116393,1.833438425
584,,,C. Valenciana,Spain,11/11/2020 5:25,39.484,-0.7533,73151,1907,9970,61274,"C. Valenciana, Spain",1470.381021,2.606936337
585,,,Canarias,Spain,11/11/2020 5:25,28.2916,-16.6291,18547,301,1537,16709,"Canarias, Spain",840.4092436,1.622903974
586,,,Cantabria,Spain,11/11/2020 5:25,43.1828,-3.9878,11750,264,2287,9199,"Cantabria, Spain",2020.146448,2.246808511
587,,,Castilla - La Mancha,Spain,11/11/2020 5:25,39.2796,-3.0977,72554,3475,6392,62687,"Castilla - La Mancha, Spain",3565.522634,4.78953607
588,,,Castilla y Leon,Spain,11/11/2020 5:25,41.8357,-4.3976,97687,3911,8716,85060,"Castilla y Leon, Spain",4057.218969,4.003603345
589,,,Catalonia,Spain,11/11/2020 5:25,41.5912,1.5209,267218,7272,26203,233743,"Catalonia, Spain",3531.625412,2.72137356
590,,,Ceuta,Spain,11/11/2020 5:25,35.8894,-5.3213,2217,33,163,2021,"Ceuta, Spain",2613.493027,1.48849797
591,,,Extremadura,Spain,11/11/2020 5:25,39.4937,-6.0679,23870,786,2652,20432,"Extremadura, Spain",2240.422592,3.292836196
592,,,Galicia,Spain,11/11/2020 5:25,42.5751,-8.1339,39740,997,9204,29539,"Galicia, Spain",1471.611489,2.508807247
593,,,La Rioja,Spain,11/11/2020 5:25,42.2871,-2.5396,14277,492,3107,10678,"La Rioja, Spain",4553.035836,3.446102122
594,,,Madrid,Spain,11/11/2020 5:25,40.4168,-3.7038,322960,10850,40736,271374,"Madrid, Spain",4862.647815,3.35954917
595,,,Melilla,Spain,11/11/2020 5:25,35.2923,-2.9381,3401,27,125,3249,"Melilla, Spain",4015.86983,0.793884152
596,,,Murcia,Spain,11/11/2020 5:25,37.9922,-1.1307,44511,403,2180,41928,"Murcia, Spain",2992.008271,0.905394172
597,,,Navarra,Spain,11/11/2020 5:25,42.6954,-1.6761,36354,767,3905,31682,"Navarra, Spain",5593.387758,2.109809099
598,,,Pais Vasco,Spain,11/11/2020 5:25,42.9896,-2.6189,78589,2155,16160,60274,"Pais Vasco, Spain",3608.509192,2.742114036
599,,,Unknown,Spain,11/11/2020 5:25,,,0,0,0,0,"Unknown, Spain",,
600,,,,Sri Lanka,11/11/2020 5:25,7.873054,80.771797,14715,41,9537,5137,Sri Lanka,68.71913418,0.278627251
601,,,,Sudan,11/11/2020 5:25,12.8628,30.2176,14301,1116,9492,3693,Sudan,32.61399865,7.803650094
602,,,,Suriname,11/11/2020 5:25,3.9193,-56.0278,5245,113,5115,17,Suriname,894.0838751,2.154432793
603,,,Blekinge,Sweden,11/11/2020 5:25,56.2784,15.018,1247,19,0,1228,"Blekinge, Sweden",781.2989487,1.523656776
604,,,Dalarna,Sweden,11/11/2020 5:25,61.0917,14.6664,4185,186,0,3999,"Dalarna, Sweden",1453.29657,4.444444444
605,,,Gavleborg,Sweden,11/11/2020 5:25,61.3012,16.1534,4425,171,0,4254,"Gavleborg, Sweden",1539.762407,3.86440678
606,,,Gotland,Sweden,11/11/2020 5:25,57.4684,18.4867,692,7,0,685,"Gotland, Sweden",1159.400865,1.011560694
607,,,Halland,Sweden,11/11/2020 5:25,56.8967,12.8034,4516,89,0,4427,"Halland, Sweden",1352.711414,1.970770593
608,,,Jamtland Harjedalen,Sweden,11/11/2020 5:25,63.1712,14.9592,1837,64,0,1773,"Jamtland Harjedalen, Sweden",1404.326886,3.483941208
609,,,Jonkoping,Sweden,11/11/2020 5:25,57.3708,14.3439,8258,189,0,8069,"Jonkoping, Sweden",2271.183364,2.288689755
610,,,Kalmar,Sweden,11/11/2020 5:25,57.235,16.1849,1681,64,0,1617,"Kalmar, Sweden",684.8756957,3.807257585
611,,,Kronoberg,Sweden,11/11/2020 5:25,56.7183,14.4115,3458,131,0,3327,"Kronoberg, Sweden",1716.393093,3.788316946
612,,,Norrbotten,Sweden,11/11/2020 5:25,66.8309,20.3992,2976,89,0,2887,"Norrbotten, Sweden",1189.957336,2.990591398
613,,,Orebro,Sweden,11/11/2020 5:25,59.535,15.0066,6575,177,0,6398,"Orebro, Sweden",2157.116845,2.692015209
614,,,Ostergotland,Sweden,11/11/2020 5:25,58.3454,15.5198,7442,256,0,7186,"Ostergotland, Sweden",1598.728236,3.439935501
615,,,Skane,Sweden,11/11/2020 5:25,55.9903,13.5958,14787,310,0,14477,"Skane, Sweden",1073.211659,2.096436059
616,,,Sormland,Sweden,11/11/2020 5:25,59.0336,16.7519,3877,257,0,3620,"Sormland, Sweden",1303.018082,6.628836729
617,,,Stockholm,Sweden,11/11/2020 5:25,59.6025,18.1384,46377,2467,0,43910,"Stockholm, Sweden",1951.006297,5.31944714
618,,,Uppsala,Sweden,11/11/2020 5:25,60.0092,17.2715,7464,257,0,7207,"Uppsala, Sweden",1945.203837,3.443193998
619,,,Varmland,Sweden,11/11/2020 5:25,59.7294,13.2354,2150,76,0,2074,"Varmland, Sweden",761.2937036,3.534883721
620,,,Vasterbotten,Sweden,11/11/2020 5:25,65.3337,16.5162,2152,32,0,2120,"Vasterbotten, Sweden",791.9451232,1.486988848
621,,,Vasternorrland,Sweden,11/11/2020 5:25,63.4276,17.7292,2618,138,0,2480,"Vasternorrland, Sweden",1067.060123,5.271199389
622,,,Vastmanland,Sweden,11/11/2020 5:25,59.6714,16.2159,4968,185,0,4783,"Vastmanland, Sweden",1801.011438,3.723832528
623,,,Vastra Gotaland,Sweden,11/11/2020 5:25,58.2528,13.0596,30555,893,0,29662,"Vastra Gotaland, Sweden",1770.400161,2.922598593
624,,,,Switzerland,11/11/2020 5:25,46.8182,8.2275,235202,3196,122600,109406,Switzerland,2717.647388,1.358831983
625,,,,Syria,11/11/2020 5:25,34.802075,38.996815,6352,325,2454,3573,Syria,36.29578021,5.116498741
626,,,,Taiwan*,11/11/2020 5:25,23.7,121,580,7,528,45,Taiwan*,2.435258342,1.206896552
627,,,,Tajikistan,11/11/2020 5:25,38.861,71.2761,11376,83,10763,530,Tajikistan,119.2747641,0.729606188
628,,,,Tanzania,11/11/2020 5:25,-6.369028,34.888822,509,21,183,305,Tanzania,0.852107987,4.125736739
629,,,,Thailand,11/11/2020 5:25,15.870032,100.992541,3844,60,3685,102,Thailand,5.511463055,1.559656875
630,,,,Timor-Leste,11/11/2020 5:25,-8.874217,125.727539,30,0,29,1,Timor-Leste,2.27541295,0
631,,,,Togo,11/11/2020 5:25,8.6195,0.8248,2558,57,1763,738,Togo,30.89843294,2.228303362
632,,,,Trinidad and Tobago,11/11/2020 5:25,10.6918,-61.2225,5880,111,5238,531,Trinidad and Tobago,420.1527555,1.887755102
633,,,,Tunisia,11/11/2020 5:25,33.886917,9.537499,72993,2006,48103,22884,Tunisia,617.6102824,2.748208732
634,,,,Turkey,11/11/2020 5:25,38.9637,35.2433,399360,11059,342501,45800,Turkey,473.5172136,2.769180689
635,1001,Autauga,Alabama,US,11/11/2020 5:25,32.53952745,-86.64408227,2328,30,0,2298,"Autauga, Alabama, US",4166.890404,1.288659794
636,1003,Baldwin,Alabama,US,11/11/2020 5:25,30.72774991,-87.72207058,7348,84,0,7264,"Baldwin, Alabama, US",3291.613285,1.143168209
637,1005,Barbour,Alabama,US,11/11/2020 5:25,31.868263,-85.3871286,1107,9,0,1098,"Barbour, Alabama, US",4484.323098,0.81300813
638,1007,Bibb,Alabama,US,11/11/2020 5:25,32.99642064,-87.1251146,948,17,0,931,"Bibb, Alabama, US",4233.276771,1.793248945
639,1009,Blount,Alabama,US,11/11/2020 5:25,33.98210918,-86.56790593,2378,26,0,2352,"Blount, Alabama, US",4112.337011,1.093355761
640,1011,Bullock,Alabama,US,11/11/2020 5:25,32.10030533,-85.71265535,665,18,0,647,"Bullock, Alabama, US",6583.506584,2.706766917
641,1013,Butler,Alabama,US,11/11/2020 5:25,31.75300095,-86.68057478,1061,41,0,1020,"Butler, Alabama, US",5455.573838,3.864278982
642,1015,Calhoun,Alabama,US,11/11/2020 5:25,33.77483727,-85.82630386,5254,68,0,5186,"Calhoun, Alabama, US",4624.796444,1.294251998
643,1017,Chambers,Alabama,US,11/11/2020 5:25,32.91360079,-85.39072749,1507,48,0,1459,"Chambers, Alabama, US",4531.78565,3.185136032
644,1019,Cherokee,Alabama,US,11/11/2020 5:25,34.17805983,-85.60638968,857,15,0,842,"Cherokee, Alabama, US",3271.491831,1.750291715
645,1021,Chilton,Alabama,US,11/11/2020 5:25,32.85044126,-86.7173256,2027,35,0,1992,"Chilton, Alabama, US",4562.438102,1.726689689
646,1023,Choctaw,Alabama,US,11/11/2020 5:25,32.02227341,-88.2656443,407,12,0,395,"Choctaw, Alabama, US",3232.981174,2.948402948
647,1025,Clarke,Alabama,US,11/11/2020 5:25,31.68099859,-87.83548597,1451,18,0,1433,"Clarke, Alabama, US",6142.578952,1.240523777
648,1027,Clay,Alabama,US,11/11/2020 5:25,33.26984193,-85.85836077,819,13,0,806,"Clay, Alabama, US",6188.137514,1.587301587
649,1029,Cleburne,Alabama,US,11/11/2020 5:25,33.67679204,-85.52005899,630,11,0,619,"Cleburne, Alabama, US",4225.352113,1.746031746
650,1031,Coffee,Alabama,US,11/11/2020 5:25,31.39932826,-85.98901039,2018,12,0,2006,"Coffee, Alabama, US",3855.412479,0.594648167
651,1033,Colbert,Alabama,US,11/11/2020 5:25,34.69847452,-87.80168544,2515,33,0,2482,"Colbert, Alabama, US",4552.777828,1.312127237
652,1035,Conecuh,Alabama,US,11/11/2020 5:25,31.43401703,-86.99320044,616,13,0,603,"Conecuh, Alabama, US",5104.831358,2.11038961
653,1037,Coosa,Alabama,US,11/11/2020 5:25,32.93690146,-86.24847739,240,3,0,237,"Coosa, Alabama, US",2250.773703,1.25
654,1039,Covington,Alabama,US,11/11/2020 5:25,31.2477854,-86.45050893,1967,32,0,1935,"Covington, Alabama, US",5309.185133,1.626842908
655,1041,Crenshaw,Alabama,US,11/11/2020 5:25,31.72941803,-86.31593104,654,30,0,624,"Crenshaw, Alabama, US",4748.765611,4.587155963
656,1043,Cullman,Alabama,US,11/11/2020 5:25,34.13020303,-86.86888037,3328,29,0,3299,"Cullman, Alabama, US",3972.877471,0.871394231
657,1045,Dale,Alabama,US,11/11/2020 5:25,31.43037123,-85.61095742,2070,55,0,2015,"Dale, Alabama, US",4209.712845,2.657004831
658,1047,Dallas,Alabama,US,11/11/2020 5:25,32.32688101,-87.1086671,2008,28,0,1980,"Dallas, Alabama, US",5398.429939,1.394422311
659,1049,DeKalb,Alabama,US,11/11/2020 5:25,34.45946862,-85.80782906,3942,34,0,3908,"DeKalb, Alabama, US",5512.28448,0.862506342
660,1051,Elmore,Alabama,US,11/11/2020 5:25,32.59785413,-86.14415284,3495,60,0,3435,"Elmore, Alabama, US",4303.71018,1.716738197
661,1053,Escambia,Alabama,US,11/11/2020 5:25,31.1256789,-87.15918694,1835,31,0,1804,"Escambia, Alabama, US",5009.14476,1.689373297
662,1055,Etowah,Alabama,US,11/11/2020 5:25,34.04567266,-86.04051873,4967,60,0,4907,"Etowah, Alabama, US",4856.846716,1.207972619
663,1057,Fayette,Alabama,US,11/11/2020 5:25,33.72076938,-87.73886638,684,15,0,669,"Fayette, Alabama, US",4195.804196,2.192982456
664,1059,Franklin,Alabama,US,11/11/2020 5:25,34.44235334,-87.84289505,2261,34,0,2227,"Franklin, Alabama, US",7209.361648,1.503759398
665,1061,Geneva,Alabama,US,11/11/2020 5:25,31.09389027,-85.83572839,1038,8,0,1030,"Geneva, Alabama, US",3951.124814,0.770712909
666,1063,Greene,Alabama,US,11/11/2020 5:25,32.85504247,-87.95684022,361,17,0,344,"Greene, Alabama, US",4450.745901,4.709141274
667,1065,Hale,Alabama,US,11/11/2020 5:25,32.76039258,-87.63284988,833,30,0,803,"Hale, Alabama, US",5685.618729,3.601440576
668,1067,Henry,Alabama,US,11/11/2020 5:25,31.51148016,-85.24267944,787,6,0,781,"Henry, Alabama, US",4574.251671,0.762388818
669,1069,Houston,Alabama,US,11/11/2020 5:25,31.15197924,-85.29939599,4543,36,0,4507,"Houston, Alabama, US",4290.625413,0.792427911
670,1071,Jackson,Alabama,US,11/11/2020 5:25,34.78144169,-85.99750489,2509,23,0,2486,"Jackson, Alabama, US",4859.954287,0.91669988
671,1073,Jefferson,Alabama,US,11/11/2020 5:25,33.55554728,-86.895063,26232,409,0,25823,"Jefferson, Alabama, US",3983.157524,1.559164379
672,1075,Lamar,Alabama,US,11/11/2020 5:25,33.77995024,-88.09668032,565,7,0,558,"Lamar, Alabama, US",4092.720029,1.238938053
673,1077,Lauderdale,Alabama,US,11/11/2020 5:25,34.90171875,-87.65624729,3011,49,0,2962,"Lauderdale, Alabama, US",3247.096378,1.627366323
674,1079,Lawrence,Alabama,US,11/11/2020 5:25,34.52041498,-87.31069453,1013,35,0,978,"Lawrence, Alabama, US",3076.782894,3.455083909
675,1081,Lee,Alabama,US,11/11/2020 5:25,32.60154883,-85.35132246,6952,65,0,6887,"Lee, Alabama, US",4225.061079,0.934982739
676,1083,Limestone,Alabama,US,11/11/2020 5:25,34.81185586,-86.98310072,3414,37,0,3377,"Limestone, Alabama, US",3451.448213,1.083772701
677,1085,Lowndes,Alabama,US,11/11/2020 5:25,32.1597283,-86.65158371,749,29,0,720,"Lowndes, Alabama, US",7701.007608,3.871829105
678,1087,Macon,Alabama,US,11/11/2020 5:25,32.38759944,-85.69267724,618,20,0,598,"Macon, Alabama, US",3420.411778,3.236245955
679,1089,Madison,Alabama,US,11/11/2020 5:25,34.76327133,-86.55069633,10523,108,0,10415,"Madison, Alabama, US",2821.86807,1.026323292
680,1091,Marengo,Alabama,US,11/11/2020 5:25,32.24767634,-87.78796182,1103,24,0,1079,"Marengo, Alabama, US",5847.426178,2.175883953
681,1093,Marion,Alabama,US,11/11/2020 5:25,34.13697363,-87.88704173,1222,31,0,1191,"Marion, Alabama, US",4113.231681,2.536824877
682,1095,Marshall,Alabama,US,11/11/2020 5:25,34.36975964,-86.30486727,4910,53,0,4857,"Marshall, Alabama, US",5073.676814,1.079429735
683,1097,Mobile,Alabama,US,11/11/2020 5:25,30.78472347,-88.20842409,17998,334,0,17664,"Mobile, Alabama, US",4355.65451,1.855761751
684,1099,Monroe,Alabama,US,11/11/2020 5:25,31.56729412,-87.36995001,701,10,0,691,"Monroe, Alabama, US",3381.083297,1.426533524
685,1101,Montgomery,Alabama,US,11/11/2020 5:25,32.2206831,-86.20969272,11225,221,0,11004,"Montgomery, Alabama, US",4956.15623,1.968819599
686,1103,Morgan,Alabama,US,11/11/2020 5:25,34.45500589,-86.85475946,4974,40,0,4934,"Morgan, Alabama, US",4156.117615,0.804181745
687,80001,Out of AL,Alabama,US,11/11/2020 5:25,,,0,0,0,0,"Out of AL, Alabama, US",,
688,1105,Perry,Alabama,US,11/11/2020 5:25,32.64048341,-87.29770589,626,6,0,620,"Perry, Alabama, US",7015.57772,0.958466454
689,1107,Pickens,Alabama,US,11/11/2020 5:25,33.28094866,-88.08818103,1017,18,0,999,"Pickens, Alabama, US",5102.86001,1.769911504
690,1109,Pike,Alabama,US,11/11/2020 5:25,31.80396383,-85.9408295,1437,14,0,1423,"Pike, Alabama, US",4339.554267,0.974251914
691,1111,Randolph,Alabama,US,11/11/2020 5:25,33.29526734,-85.45708831,896,19,0,877,"Randolph, Alabama, US",3943.314849,2.120535714
692,1113,Russell,Alabama,US,11/11/2020 5:25,32.28725256,-85.18415324,2028,3,0,2025,"Russell, Alabama, US",3498.904436,0.147928994
693,1117,Shelby,Alabama,US,11/11/2020 5:25,33.26879845,-86.66232561,8423,72,0,8351,"Shelby, Alabama, US",3869.050353,0.854802327
694,1115,St. Clair,Alabama,US,11/11/2020 5:25,33.71902176,-86.31029372,3537,52,0,3485,"St. Clair, Alabama, US",3951.425507,1.470172463
695,1119,Sumter,Alabama,US,11/11/2020 5:25,32.59117397,-88.19916205,510,21,0,489,"Sumter, Alabama, US",4103.967168,4.117647059
696,1121,Talladega,Alabama,US,11/11/2020 5:25,33.37823223,-86.16886178,2989,40,0,2949,"Talladega, Alabama, US",3737.277751,1.338240214
697,1123,Tallapoosa,Alabama,US,11/11/2020 5:25,32.86698258,-85.79833053,1506,87,0,1419,"Tallapoosa, Alabama, US",3730.770184,5.77689243
698,1125,Tuscaloosa,Alabama,US,11/11/2020 5:25,33.28726072,-87.52556818,11298,147,0,11151,"Tuscaloosa, Alabama, US",5396.575195,1.301115242
699,90001,Unassigned,Alabama,US,11/11/2020 5:25,,,0,0,0,0,"Unassigned, Alabama, US",,
700,1127,Walker,Alabama,US,11/11/2020 5:25,33.80270512,-87.30027177,3155,96,0,3059,"Walker, Alabama, US",4966.861353,3.042789223
701,1129,Washington,Alabama,US,11/11/2020 5:25,31.4092794,-88.20689944,828,12,0,816,"Washington, Alabama, US",5071.664829,1.449275362
702,1131,Wilcox,Alabama,US,11/11/2020 5:25,31.98773215,-87.30891118,594,12,0,582,"Wilcox, Alabama, US",5726.40509,2.02020202
703,1133,Winston,Alabama,US,11/11/2020 5:25,34.15030532,-87.37325922,1050,15,0,1035,"Winston, Alabama, US",4443.692073,1.428571429
704,2013,Aleutians East,Alaska,US,11/11/2020 5:25,55.32222414,-161.9722021,19,0,0,19,"Aleutians East, Alaska, US",569.3736889,0
705,2016,Aleutians West,Alaska,US,11/11/2020 5:25,52.3233,-174.1596,103,0,0,103,"Aleutians West, Alaska, US",1828.186013,0
706,2020,Anchorage,Alaska,US,11/11/2020 5:25,61.14998174,-149.1426986,10685,56,0,10629,"Anchorage, Alaska, US",3710.069444,0.524099204
707,2050,Bethel,Alaska,US,11/11/2020 5:25,60.90980451,-159.8561831,782,1,0,781,"Bethel, Alaska, US",4253.236158,0.127877238
708,2060,Bristol Bay,Alaska,US,11/11/2020 5:25,58.74513976,-156.701064,0,0,0,0,"Bristol Bay, Alaska, US",0,
709,2164,Bristol Bay plus Lake and Peninsula,Alaska,US,11/11/2020 5:25,58.62403337,-156.2140589,122,0,0,122,"Bristol Bay plus Lake and Peninsula, Alaska, US",5024.711697,0
710,2068,Denali,Alaska,US,11/11/2020 5:25,63.67264044,-150.0076108,36,0,0,36,"Denali, Alaska, US",1716.738197,0
711,2070,Dillingham,Alaska,US,11/11/2020 5:25,59.79603738,-158.2381942,72,0,0,72,"Dillingham, Alaska, US",1464.60537,0
712,2090,Fairbanks North Star,Alaska,US,11/11/2020 5:25,64.80726247,-146.5692662,2620,16,0,2604,"Fairbanks North Star, Alaska, US",2705.242181,0.610687023
713,2100,Haines,Alaska,US,11/11/2020 5:25,59.09893571,-135.4679843,15,0,0,15,"Haines, Alaska, US",592.8853755,0
714,2110,Juneau,Alaska,US,11/11/2020 5:25,58.45031811,-134.200436,671,3,0,668,"Juneau, Alaska, US",2098.580096,0.44709389
715,2122,Kenai Peninsula,Alaska,US,11/11/2020 5:25,60.24429722,-151.5388884,1451,5,0,1446,"Kenai Peninsula, Alaska, US",2471.554132,0.344589938
716,2130,Ketchikan Gateway,Alaska,US,11/11/2020 5:25,55.57445008,-130.975561,152,0,0,152,"Ketchikan Gateway, Alaska, US",1093.446515,0
717,2150,Kodiak Island,Alaska,US,11/11/2020 5:25,57.65529415,-153.7493579,145,0,0,145,"Kodiak Island, Alaska, US",1115.556239,0
718,2158,Kusilvak,Alaska,US,11/11/2020 5:25,62.1542916,-163.3967883,348,0,0,348,"Kusilvak, Alaska, US",4185.710849,0
719,2170,Matanuska-Susitna,Alaska,US,11/11/2020 5:25,62.31305045,-149.5741743,2058,5,0,2053,"Matanuska-Susitna, Alaska, US",1899.978766,0.242954325
720,2180,Nome,Alaska,US,11/11/2020 5:25,64.90320724,-164.0353804,155,0,0,155,"Nome, Alaska, US",1549.380248,0
721,2185,North Slope,Alaska,US,11/11/2020 5:25,69.31479216,-153.4836093,341,0,0,341,"North Slope, Alaska, US",3468.266884,0
722,2188,Northwest Arctic,Alaska,US,11/11/2020 5:25,67.04919196,-159.7503946,294,0,0,294,"Northwest Arctic, Alaska, US",3857.761449,0
723,2195,Petersburg,Alaska,US,11/11/2020 5:25,57.13978948,-132.9540995,21,1,0,20,"Petersburg, Alaska, US",642.988365,4.761904762
724,2198,Prince of Wales-Hyder,Alaska,US,11/11/2020 5:25,55.76261984,-133.0511621,41,1,0,40,"Prince of Wales-Hyder, Alaska, US",660.9704981,2.43902439
725,2220,Sitka,Alaska,US,11/11/2020 5:25,57.24124555,-135.3206587,103,0,0,103,"Sitka, Alaska, US",1212.763452,0
726,2230,Skagway,Alaska,US,11/11/2020 5:25,59.56149996,-135.3337748,7,0,0,7,"Skagway, Alaska, US",591.7159763,0
727,2240,Southeast Fairbanks,Alaska,US,11/11/2020 5:25,63.87692095,-143.2127643,112,1,0,111,"Southeast Fairbanks, Alaska, US",1624.836791,0.892857143
728,90002,Unassigned,Alaska,US,11/11/2020 5:25,,,84,0,0,84,"Unassigned, Alaska, US",,0
729,2261,Valdez-Cordova,Alaska,US,11/11/2020 5:25,61.47502768,-144.7126799,0,0,0,0,"Valdez-Cordova, Alaska, US",0,
730,2275,Wrangell,Alaska,US,11/11/2020 5:25,56.3202004,-132.0583731,19,0,0,19,"Wrangell, Alaska, US",759.392486,0
731,2282,Yakutat,Alaska,US,11/11/2020 5:25,59.8909808,-140.3601451,39,0,0,39,"Yakutat, Alaska, US",1430.143014,0
732,2290,Yukon-Koyukuk,Alaska,US,11/11/2020 5:25,65.50815459,-151.3907387,132,2,0,130,"Yukon-Koyukuk, Alaska, US",2523.900574,1.515151515
733,4001,Apache,Arizona,US,11/11/2020 5:25,35.39465006,-109.4892383,4217,186,0,4031,"Apache, Arizona, US",5866.151043,4.41071852
734,4003,Cochise,Arizona,US,11/11/2020 5:25,31.87934684,-109.7516088,2483,76,0,2407,"Cochise, Arizona, US",1971.855593,3.060813532
735,4005,Coconino,Arizona,US,11/11/2020 5:25,35.83883429,-111.7707178,5996,152,0,5844,"Coconino, Arizona, US",4179.096155,2.535023349
736,4007,Gila,Arizona,US,11/11/2020 5:25,33.80190085,-110.8132779,2191,76,0,2115,"Gila, Arizona, US",4056.055389,3.468735737
737,4009,Graham,Arizona,US,11/11/2020 5:25,32.93166885,-109.8882178,1467,31,0,1436,"Graham, Arizona, US",3777.325746,2.113156101
738,4011,Greenlee,Arizona,US,11/11/2020 5:25,33.21498827,-109.2405279,117,2,0,115,"Greenlee, Arizona, US",1231.838282,1.709401709
739,4012,La Paz,Arizona,US,11/11/2020 5:25,33.72854224,-113.9810029,657,18,0,639,"La Paz, Arizona, US",3112.563957,2.739726027
740,4013,Maricopa,Arizona,US,11/11/2020 5:25,33.34835867,-112.4918154,169091,3728,0,165363,"Maricopa, Arizona, US",3769.796946,2.204729997
